"Código","Nombre","Desc Tipo_PR"
"05790","SORRIBA (APD)","APEADERO"
"05797","VALDEPIELAGO (APD)","APEADERO"
"05953","MEDIA LEGUA (APD)","APEADERO"
"05967","SIERRA MINERA (APD)","APEADERO"
"70112","SOTO DEL HENARES(APD)","APEADERO"
"97200","MIRASIERRA-PACO DE LUCIA (APD)","APEADERO"
"51113","JARDINES DE HERCULES (APD)","APEADERO"
"72508","S PERPETUA MOGODA-RIERA CALDES (APD)","APEADERO"
"64210","ALBAL (APD)","APEADERO"
"05426","LA FELGUERA-LANGREO CENTRO (APD)","APEADERO"
"05734","SOTOSCUEVA (APD)","APEADERO"
"05736","DOSANTE CIDAD (APD)","APEADERO"
"05737","ROBREDO-AHEDO (APD)","APEADERO"
"05738","SONCILLO (APD)","APEADERO"
"05739","CABAÑAS DE VIRTUS (APD)","APEADERO"
"05741","LLANO (APD)","APEADERO"
"05742","LAS ROZAS DE VALDEARROYO (APD)","APEADERO"
"05743","MONTES CLAROS (APD)","APEADERO"
"05746","CORDOVILLA (APD)","APEADERO"
"05747","CILLAMAYOR (APD)","APEADERO"
"05748","SALINAS DE PISUERGA (APD)","APEADERO"
"05750","CASTREJON DE LA PEÑA (APD)","APEADERO"
"05751","VILLAVERDE-TARILONTE (APD)","APEADERO"
"05752","SANTIBAÑEZ DE LA PEÑA (APD)","APEADERO"
"05753","GUARDO-APEADERO","APEADERO"
"05755","LA LLAMA DE LA GUZPEÑA(APD)","APEADERO"
"05757","VALCUENDE (APD)","APEADERO"
"05759","PRADO DE LA GUZPEÑA (APD)","APEADERO"
"05760","VALLE DE LAS CASAS (APD)","APEADERO"
"05762","YUGUEROS (APD)","APEADERO"
"05764","BARRILLOS (APD)","APEADERO"
"05765","LA LOSILLA (APD)","APEADERO"
"05768","AVIADOS (APD)","APEADERO"
"05769","LA VALCUEVA (APD)","APEADERO"
"05771","PARDAVE (APD)","APEADERO"
"05772","PEDRUN (APD)","APEADERO"
"05773","MANZANEDA (APD)","APEADERO"
"05774","GARRAFE (APD)","APEADERO"
"05775","PALAZUELO (APD)","APEADERO"
"05777","VILLAQUILAMBRE (APD)","APEADERO"
"05786","MATUECA (APD)","APEADERO"
"05787","NAREDO (APD)","APEADERO"
"05788","ROBLES (APD)","APEADERO"
"05789","CAMPOHERMOSO (APD)","APEADERO"
"05793","LA MATA DE LA RIBA (APD)","APEADERO"
"05794","LA RAYA (APD)","APEADERO"
"05795","OTERO (APD)","APEADERO"
"05796","VILLA ROMANA (APD)","APEADERO"
"05798","LA DEVESA (APD)","APEADERO"
"05799","CEREZAL DE LA GUZPEÑA (APD)","APEADERO"
"05805","BARRIO DE LAS OLLAS(APD)","APEADERO"
"05807","VALDERILLA (APD)","APEADERO"
"05952","HOSPITAL (APD)","APEADERO"
"05955","VISTA ALEGRE (APD)","APEADERO"
"05959","ALUMBRES (APD)","APEADERO"
"05961","LA ESPERANZA (APD)","APEADERO"
"05963","LA UNION VIEJA (APD)","APEADERO"
"05969","LLANO DEL BEAL (APD)","APEADERO"
"05973","LOS NIETOS-VIEJOS (APD)","APEADERO"
"05975","LOS NIETOS-PESCADERIA (APD)","APEADERO"
"05244","EL PITO PIÑERA (APD)","APEADERO"
"05561","VILLAHORMES (APD)","APEADERO"
"05460","KASTREXANA (APD)","APEADERO"
"05295","TOL (APD)","APEADERO"
"05301","LA ARGAÑOSA-LAVAPIES (APD)","APEADERO"
"05319","SANDICHE (APD)","APEADERO"
"05355","PARTEAYER (APD)","APEADERO"
"05377","CABORANA (APD)","APEADERO"
"05387","LEVINCO (APD)","APEADERO"
"05413","NOREÑA (APD)","APEADERO"
"05431","CIAÑO-ESCOBIO (APD)","APEADERO"
"05441","BARREDOS (APD)","APEADERO"
"05471","GÜEÑES (APD)","APEADERO"
"05785","VILLASINTA (APD)","APEADERO"
"05481","LA HERRERA (APD)","APEADERO"
"05484","MIMETIZ (APD)","APEADERO"
"05485","LA CALZADA (APD)","APEADERO"
"05486","OTXARAN (APD)","APEADERO"
"05489","ARTZENTALES (APD)","APEADERO"
"05491","EL PESO (APD)","APEADERO"
"05493","VILLAVERDE DE TRUCIOS (APD)","APEADERO"
"05504","PARQUE PRINCIPADO (APD)","APEADERO"
"05508","FONCIELLO (APD)","APEADERO"
"05511","LA CARRERA DE SIERO (APD)","APEADERO"
"05515","LOS CORROS (APD)","APEADERO"
"05521","EL REMEDIO (APD)","APEADERO"
"05522","LLAMES (APD)","APEADERO"
"05525","FUENTE SANTA DE NAVA (APD)","APEADERO"
"05527","CECEDA (APD)","APEADERO"
"05531","PINTUELES (APD)","APEADERO"
"05541","OZANES (APD)","APEADERO"
"05542","POLICLINICO (APD)","APEADERO"
"05545","FUENTES (APD)","APEADERO"
"05549","CUEVAS (APD)","APEADERO"
"05555","CAMANGO (APD)","APEADERO"
"05557","BELMONTE DE PRIA (APD)","APEADERO"
"05565","BALMORI (APD)","APEADERO"
"05567","CELORIO (APD)","APEADERO"
"05569","POO (APD)","APEADERO"
"05573","SAN ROQUE DEL ACEBAL (APD)","APEADERO"
"05575","VIDIAGO (APD)","APEADERO"
"05577","PENDUELES (APD)","APEADERO"
"05579","COLOMBRES (APD)","APEADERO"
"05602","VALDECILLA-LA MARGA (APD)","APEADERO"
"05603","CAZOÑA (APD)","APEADERO"
"05607","MORTERA (APD)","APEADERO"
"05609","BOO DE PIELAGOS (APD)","APEADERO"
"05613","GORNAZO (APD)","APEADERO"
"05615","MAR (APD)","APEADERO"
"05620","ALTAMIRA (APD)","APEADERO"
"05622","GANZO (APD)","APEADERO"
"05625","SANTA ISABEL DE QUIJAS (APD)","APEADERO"
"05629","GOLBARDO (APD)","APEADERO"
"05635","ONTORIA (APD)","APEADERO"
"05643","ROIZ (APD)","APEADERO"
"05644","EL BARCENAL (APD)","APEADERO"
"05647","PESUES (APD)","APEADERO"
"05652","VALLE REAL (APD)","APEADERO"
"05658","LA CANTABRICA (APD)","APEADERO"
"05659","SAN SALVADOR (APD)","APEADERO"
"05667","CECEÑAS (APD)","APEADERO"
"05669","LA CAVADA (APD)","APEADERO"
"05672","PUENTE AGÜERO (APD)","APEADERO"
