Código	Nombre
"21010"	FERROL
"05102"	SAN XOAN (APD)
"05104"	VIRXE DO MAR (APD)
"05103"	SANTA ICIA (APD)
"05108"	O ALTO DO CASTIÑEIRO (APD)
"05105"	PIÑEIROS (APD)
"05106"	O PONTO (APD)
"05107"	XUVIA
"05109"	FERRERIAS (APD)
"05111"	SEDES (APD)
"05113"	PEDROSO DE NARON (APD)
"05115"	SAN SADURNIÑO
"05117"	LAMAS (APD)
"05119"	APALLA (APD)
"05121"	MOECHE
"05123"	LABACENGOS (APD)
"05125"	ENTRAMBARRIAS (APD)
"05127"	CERDIDO
"05129"	A CUQUEIRA (APD)
"05131"	SANTA MARIA DE MERA (APD)
"05133"	PONTE MERA
"05135"	SAN CLODIO (APD)
"05137"	SENRA (APD)
"05139"	ORTIGUEIRA
"05141"	ESPASANTE (APD)
"05143"	LOIBA (APD)
"05145"	O BARQUEIRO (APD)
"05147"	O VICEDO (APD)
"05149"	MOSENDE (APD)
"05151"	FOLGUEIRO (APD)
"05153"	COVAS DE VIVEIRO (APD)
"05155"	VIVEIRO
"05156"	VIVEIRO-APEADERO
"05157"	XUANCES (APD)
"05159"	XOVE-POBO (APD)
"05161"	XOVE
"05163"	LAGO (APD)
"05165"	BIDUEIROS (APD)
"05167"	SAN CIBRAO (APD)
"05169"	MADEIRO (APD)
"05171"	BURELA
"05173"	CANGAS DE FOZ (APD)
"05175"	NOIS (APD)
"05177"	FAZOURO (APD)
"05179"	MARZAN (APD)
"05181"	FOZ (APD)
"05183"	BARREIROS (APD)
"05185"	REINANTE (APD)
"05187"	ESTEIRO (APD)
"05189"	OS CASTROS (APD)
"05191"	RINLO (APD)
"05193"	RIBADEO
"21010"	FERROL
"05102"	SAN XOAN (APD)
"05104"	VIRXE DO MAR (APD)
"05103"	SANTA ICIA (APD)
"05108"	O ALTO DO CASTIÑEIRO (APD)
"05105"	PIÑEIROS (APD)
"05106"	O PONTO (APD)
"05107"	XUVIA
"05109"	FERRERIAS (APD)
"05111"	SEDES (APD)
"05113"	PEDROSO DE NARON (APD)
"05115"	SAN SADURNIÑO
"21010"	FERROL
"05102"	SAN XOAN (APD)
"05104"	VIRXE DO MAR (APD)
"05103"	SANTA ICIA (APD)
